Program,Glass,Material,Core_Type,Style,Finish_Texture,Glass_Info,Configuration,Size_Width_in,Size_Height_in,Bore_Status,Handing,Jamb_Type,Jamb_Casing,Hinge_Finish,Special_Features,Original_Description,Current_Stock_Item_Number,Lowe's_Pro_Stock_Item_Number
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,72.0,80.0,,,Split Jamb,376,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a smooth finish (Bi-hinge), jamb type: Split Jamb, casing: 376, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738367
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,48.0,80.0,,,Split Jamb,Craftsman,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a smooth finish (Bi-hinge), jamb type: Split Jamb, casing: Craftsman, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738372
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,60.0,80.0,,,Split Jamb,Craftsman,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a smooth finish (Bi-hinge), jamb type: Split Jamb, casing: Craftsman, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738371
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Smooth,,Bi-hinge,72.0,80.0,,,Split Jamb,Craftsman,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a smooth finish (Bi-hinge), jamb type: Split Jamb, casing: Craftsman, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738369
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,48.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738339
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,60.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738338
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,72.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738336
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,48.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738341
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,60.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738342
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,72.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738340
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,48.0,80.0,,,Split Jamb,Colonial,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Split Jamb, casing: Colonial, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738345
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,60.0,80.0,,,Split Jamb,Colonial,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Split Jamb, casing: Colonial, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738343
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Flat,,Bi-hinge,72.0,80.0,,,Split Jamb,Colonial,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a flat finish (Bi-hinge), jamb type: Split Jamb, casing: Colonial, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738344
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Raised,,Bi-hinge,48.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738351
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Raised,,Bi-hinge,60.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738353
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Raised,,Bi-hinge,72.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738349
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Raised,,Bi-hinge,48.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738348
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Raised,,Bi-hinge,60.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738347
Interior Pro Express,,Molded,Hollow Core,2 Panel Square,Raised,,Bi-hinge,72.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Square design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738346
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Plank,,Bi-hinge,48.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a plank finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738356
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Plank,,Bi-hinge,60.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a plank finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738354
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Plank,,Bi-hinge,72.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a plank finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738357
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Plank,,Bi-hinge,48.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a plank finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738352
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Plank,,Bi-hinge,60.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a plank finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738355
Interior Pro Express,,Molded,Hollow Core,2 Panel Round Top,Plank,,Bi-hinge,72.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 2 Panel Round Top design with a plank finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738350
Interior Pro Express,,Molded,Hollow Core,3 Panel Craftsman,Flat,,Bi-hinge,48.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 3 Panel Craftsman design with a flat finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738331
Interior Pro Express,,Molded,Hollow Core,3 Panel Craftsman,Flat,,Bi-hinge,60.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 3 Panel Craftsman design with a flat finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738328
Interior Pro Express,,Molded,Hollow Core,3 Panel Craftsman,Flat,,Bi-hinge,72.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 3 Panel Craftsman design with a flat finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738329
Interior Pro Express,,Molded,Hollow Core,5 Panel,Raised,,Bi-hinge,48.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 5 Panel design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738330
Interior Pro Express,,Molded,Hollow Core,5 Panel,Raised,,Bi-hinge,60.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 5 Panel design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738333
Interior Pro Express,,Molded,Hollow Core,5 Panel,Raised,,Bi-hinge,72.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 5 Panel design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738332
Interior Pro Express,,Molded,Hollow Core,5 Panel,Raised,,Bi-hinge,48.0,80.0,,,Split Jamb,376,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 5 Panel design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 376, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738337
Interior Pro Express,,Molded,Hollow Core,5 Panel,Raised,,Bi-hinge,60.0,80.0,,,Split Jamb,376,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 5 Panel design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 376, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738335
Interior Pro Express,,Molded,Hollow Core,5 Panel,Raised,,Bi-hinge,72.0,80.0,,,Split Jamb,376,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 5 Panel design with a raised finish (Bi-hinge), jamb type: Split Jamb, casing: 376, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738334
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,48.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738385
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,60.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738382
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,72.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738383
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,48.0,80.0,,,"6-9/16"" Flat Jamb",No Casing,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: 6-9/16"" Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738381
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,60.0,80.0,,,"6-9/16"" Flat Jamb",No Casing,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: 6-9/16"" Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738380
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,72.0,80.0,,,"6-9/16"" Flat Jamb",No Casing,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: 6-9/16"" Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738379
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,48.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,1101901
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,60.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,1101902
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,72.0,80.0,,,Split Jamb,356,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 356, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738386
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,48.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,1101899
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,60.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,1101900
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,72.0,80.0,,,Split Jamb,366,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 366, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738387
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,48.0,80.0,,,Split Jamb,376,Nickel,Ball Catches,"48.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 376, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,1101917
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,60.0,80.0,,,Split Jamb,376,Nickel,Ball Catches,"60.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 376, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738388
Interior Pro Express,,Molded,Hollow Core,6 Panel,Textured,,Bi-hinge,72.0,80.0,,,Split Jamb,376,Nickel,Ball Catches,"72.0-inch x 80.0-inch Molded Hollow Core door, featuring a 6 Panel design with a textured finish (Bi-hinge), jamb type: Split Jamb, casing: 376, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,5738384
Interior Pro Express,10-Lite,Pine,Solid Core,French Door,Clear Pine,10-Lite,Bi-hinge,48.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"48.0-inch x 80.0-inch Pine Solid Core door, featuring a French Door design with a clear pine finish and 10-lite glass option (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,1101703
Interior Pro Express,15-Lite,Pine,Solid Core,French Door,Clear Pine,15-Lite,Bi-hinge,60.0,80.0,,,Flat Jamb,No Casing,Nickel,Ball Catches,"60.0-inch x 80.0-inch Pine Solid Core door, featuring a French Door design with a clear pine finish and 15-lite glass option (Bi-hinge), jamb type: Flat Jamb, casing: No Casing, hinge finish: Nickel. Special features: Ball Catches. Built for durability and style, perfect for enhancing your home's entryway.",,1101704
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,24.0,80.0,Bored,Left-Hand,Flat Jamb,No Casing,Black,,"24.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509473.0,1170066
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,24.0,80.0,Bored,Right-Hand,Flat Jamb,No Casing,Black,,"24.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509448.0,1169407
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,28.0,80.0,Bored,Left-Hand,Flat Jamb,No Casing,Black,,"28.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509441.0,1170129
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,28.0,80.0,Bored,Right-Hand,Flat Jamb,No Casing,Black,,"28.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509446.0,1168738
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,30.0,80.0,Bored,Left-Hand,Flat Jamb,No Casing,Black,,"30.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509474.0,1169429
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,30.0,80.0,Bored,Right-Hand,Flat Jamb,No Casing,Black,,"30.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509476.0,1170120
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,32.0,80.0,Bored,Left-Hand,Flat Jamb,No Casing,Black,,"32.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509352.0,1169263
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,32.0,80.0,Bored,Right-Hand,Flat Jamb,No Casing,Black,,"32.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509466.0,1169508
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,36.0,80.0,Bored,Left-Hand,Flat Jamb,No Casing,Black,,"36.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509468.0,1168730
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,36.0,80.0,Bored,Right-Hand,Flat Jamb,No Casing,Black,,"36.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Flat Jamb, casing: No Casing, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509459.0,1168776
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,24.0,80.0,Bored,Left-Hand,Split Jamb,Colonial,Black,,"24.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Split Jamb, casing: Colonial, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509452.0,1169264
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,24.0,80.0,Bored,Right-Hand,Split Jamb,Colonial,Black,,"24.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Split Jamb, casing: Colonial, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509471.0,1168794
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,28.0,80.0,Bored,Left-Hand,Split Jamb,Colonial,Black,,"28.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Split Jamb, casing: Colonial, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509436.0,1168802
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,28.0,80.0,Bored,Right-Hand,Split Jamb,Colonial,Black,,"28.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Split Jamb, casing: Colonial, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509440.0,1169253
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,30.0,80.0,Bored,Left-Hand,Split Jamb,Colonial,Black,,"30.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Split Jamb, casing: Colonial, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509437.0,1170139
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,30.0,80.0,Bored,Right-Hand,Split Jamb,Colonial,Black,,"30.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Split Jamb, casing: Colonial, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509470.0,1168771
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,32.0,80.0,Bored,Left-Hand,Split Jamb,Colonial,Black,,"32.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Left Hand, bored, jamb type: Split Jamb, casing: Colonial, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509467.0,1168724
Interior Pro Express,,Molded,Hollow Core,1 Panel,Flat,,Single Prehung,32.0,80.0,Bored,Right-Hand,Split Jamb,Colonial,Black,,"32.0-inch x 80.0-inch Molded Hollow Core door, featuring a 1 Panel design with a flat finish (Single Prehung), Right Hand, bored, jamb type: Split Jamb, casing: Colonial, hinge finish: Black. Built for durability and style, perfect for enhancing your home's entryway.",5509462.0,1168773
